Year,Model,Total_Price(RM),Price_per_month(RM),Mileage(km),Transmission,Location,Highlight,URL,Brand
2018,cr-v tc-p vtec 1.5,90000.0,1066.0,104356.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",compact suv,https://www.carsome.my/buy-car/honda/cr-v/2018-honda-cr-v-tc-p-vtec-1.5/cztm400,Honda
2018,c-hr 1.8,83000.0,941.0,134840.0,A,"carsome pj automall, selangor 14,748.1 km
          away",compact suv,https://www.carsome.my/buy-car/toyota/c-hr/2018-toyota-c-hr--1.8/c2kn400,Toyota
2021,myvi av 1.5,48900.0,536.0,85268.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2021-perodua-myvi-av-1.5/cydo400,Perodua
2023,ativa h 1.0,59400.0,651.0,46033.0,A,"carsome showroom aeon big kepong, kuala lumpur 14,735.7 km
          away",compact suv,https://www.carsome.my/buy-car/perodua/ativa/2023-perodua-ativa-h-1.0/cj7l400,Perodua
2018,cr-v tc vtec 1.5,83000.0,996.0,122728.0,A,"carsome showroom kota bharu, kelantan 14,408.9 km
          away",compact suv,https://www.carsome.my/buy-car/honda/cr-v/2018-honda-cr-v-tc-vtec-1.5/cj2o400,Honda
2020,civic s i-vtec 1.8,80000.0,866.0,57065.0,A,"carsome showroom setia spice, pulau pinang 14,555.5 km
          away",upgrade daily drive,https://www.carsome.my/buy-car/honda/civic/2020-honda-civic-s-i-vtec-1.8/ccfo400,Honda
2020,saga premium 1.3,31800.0,327.0,78545.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-premium-1.3/cxnm400,Proton
2015,myvi x 1.3,26000.0,353.0,116061.0,A,"carsome showroom aeon big kepong, kuala lumpur 14,735.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2015-perodua-myvi-x-1.3/c7yn400,Perodua
2018,bezza x premium 1.3,33000.0,396.0,122735.0,A,"carsome showroom ipoh, perak 14,609.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/cgfo400,Perodua
2016,myvi se 1.5,32400.0,481.0,44023.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2016-perodua-myvi-se-1.5/c9ao400,Perodua
2016,vios g 1.5,48800.0,636.0,113517.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/vios/2016-toyota-vios-g-1.5/cw8n400,Toyota
2018,alza ez 1.5,43400.0,514.0,81809.0,A,"carsome pj automall, selangor 14,748.1 km
          away",family drive,https://www.carsome.my/buy-car/perodua/alza/2018-perodua-alza-ez-1.5/cg9n400,Perodua
2018,saga executive 1.3,26600.0,304.0,96771.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2018-proton-saga-executive-1.3/cwwn400,Proton
2016,myvi advance 1.5,32800.0,469.0,151736.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2016-perodua-myvi-advance-1.5/cwzo400,Perodua
2017,br-v v i-vtec 1.5,45000.0,584.0,126534.0,A,"carsome showroom ipoh, perak 14,609.1 km
          away",family drive,https://www.carsome.my/buy-car/honda/br-v/2017-honda-br-v-v-i-vtec-1.5/cmfo400,Honda
2016,axia advance 1.0,27800.0,333.0,101421.0,A,"carsome showroom setiawangsa, kuala lumpur 14,736.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2016-perodua-axia-advance-1.0/cyio400,Perodua
2016,cx-3 skyactiv 2.0,55400.0,652.0,162174.0,A,"carsome showroom chan sow lin, kuala lumpur 14,744.2 km
          away",compact suv,https://www.carsome.my/buy-car/mazda/cx-3/2016-mazda-cx-3-skyactiv-2.0/ccio400,Mazda
2018,bezza x premium 1.3,33400.0,401.0,103498.0,A,"carsome pj automall, selangor 14,748.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/cb6o400,Perodua
2017,myvi se 1.5,35400.0,472.0,83431.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-se-1.5/cs6p400,Perodua
2020,alza ez 1.5,45800.0,466.0,120531.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",family drive,https://www.carsome.my/buy-car/perodua/alza/2020-perodua-alza-ez-1.5/cj8p400,Perodua
