Year,Model,Total_Price,Price_per_month,Mileage,Transmission,Location,Highlight,URL
2018,Proton Saga Executive 1.3,"RM
          26,600",RM 264,"79,280 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2018-proton-saga-executive-1.3/cido400
2022,Proton X50 Executive 1.5,"RM
          67,400",RM 739,"53,925 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x50/2022-proton-x50-executive-1.5/cavo400
2017,Perodua Myvi G 1.3,"RM
          32,800",RM 411,"86,495 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-g-1.3/cfap400
2023,Perodua Myvi AV 1.5,"RM
          53,400",RM 585,"29,310 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2023-perodua-myvi-av-1.5/ce2q400
2020,Honda N-Box Custom G L 0.7,"RM
          85,800",RM 844,"30,627 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/n-box-custom/2020-honda-n-box-custom-g-l-0.7/chip400
2017,Toyota Harrier Elegance 2.0,"RM
          95,800","RM 1,230","117,230 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/toyota/harrier/2017-toyota-harrier-elegance-2.0/cktn400
2023,Perodua AXIA Advance 1.0,"RM
          40,900",RM 416,"32,519 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2023-perodua-axia-advance-1.0/c31o400
2017,Perodua AXIA G 1.0,"RM
          27,400",RM 365,"106,874 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/c63p400
2018,Perodua Alza Ez 1.5,"RM
          43,000",RM 478,"114,631 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2018-perodua-alza-ez-1.5/cnsp400
2018,Toyota Harrier Premium 2.0,"RM
          121,800","RM 1,462","77,395 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/toyota/harrier/2018-toyota-harrier-premium-2.0/csyp400
2023,Volkswagen Tiguan Allspace Elegance 1.4,"RM
          135,000","RM 1,387","22,400 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",Compact SUV,https://www.carsome.my/buy-car/volkswagen/tiguan/2023-volkswagen-tiguan-allspace-elegance-1.4/c5go400
2020,Honda HR-V i-VTEC RS 1.8,"RM
          79,000",RM 866,"94,185 km",Automatic,"CARSOME Showroom Kota Bharu, Kelantan 14,408.9 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2020-honda-hr-v-i-vtec-rs-1.8/csbq400
2018,Lexus RX300 F SPORT 2.0,"RM
          198,000","RM 2,290","88,192 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Luxury,https://www.carsome.my/buy-car/lexus/rx300/2018-lexus-rx300-f-sport-2.0/c84q400
2018,Perodua Bezza Advance Premium 1.3,"RM
          35,400",RM 425,"108,092 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-advance-premium-1.3/cxpn400
2017,Honda HR-V i-VTEC V 1.8,"RM
          56,000",RM 747,"144,123 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2017-honda-hr-v-i-vtec-v-1.8/cl5p400
2018,Mazda CX-5 SKYACTIV-G GLS 2.0,"RM
          81,800",RM 911,"108,379 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-5/2018-mazda-cx-5-skyactiv-g-gls-2.0/ccyp400
2023,Subaru Forester L EyeSight 2.0,"RM
          119,000","RM 1,276","9,981 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/subaru/forester/2023-subaru-forester-l-eyesight-2.0/c0qj400
2015,Toyota Harrier Elegance 2.0,"RM
          85,000","RM 1,084","95,924 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/toyota/harrier/2015-toyota-harrier-elegance-2.0/ckpr400
2020,Perodua AXIA GXtra 1.0,"RM
          32,400",RM 343,"64,476 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2020-perodua-axia-gxtra-1.0/czjq400
2014,Toyota Vios J 1.5,"RM
          34,400",RM 467,"151,023 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2014-toyota-vios-j-1.5/cmmo400
2020,Honda Civic TC VTEC 1.5,"RM
          90,900",RM 941,"98,955 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2020-honda-civic-tc-vtec-1.5/c5cp400
2021,Perodua Myvi AV 1.5,"RM
          48,900",RM 536,"39,428 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2021-perodua-myvi-av-1.5/c8rs400
2022,Proton X50 TGDI Flagship 1.5,"RM
          75,900",RM 788,"26,634 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x50/2022-proton-x50-tgdi-flagship-1.5/cdqs400
2020,Perodua Myvi G 1.3,"RM
          38,900",RM 395,"96,111 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-g-1.3/cb1q400
2019,Nissan Serena S-Hybrid High-Way Star 2.0,"RM
          81,800",RM 864,"90,467 km",Automatic,"CARSOME Showroom Kota Bharu, Kelantan 14,408.9 km
          away",Family Drive,https://www.carsome.my/buy-car/nissan/serena/2019-nissan-serena-s-hybrid-high-way-star-2.0/c39n400
2016,Perodua Bezza X Premium 1.3,"RM
          28,800",RM 364,"135,487 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2016-perodua-bezza-x-premium-1.3/cmhp400
2018,Honda CR-V TC-P VTEC 1.5,"RM
          90,400","RM 1,028","99,580 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/cr-v/2018-honda-cr-v-tc-p-vtec-1.5/c9zq400
2024,Proton X50 TGDI Flagship 1.5,"RM
          85,000",RM 931,"22,508 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x50/2024-proton-x50-tgdi-flagship-1.5/c1kq400
2023,Toyota Corolla Cross Hybrid 1.8,"RM
          111,000","RM 1,173","47,356 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/toyota/corolla-cross/2023-toyota-corolla-cross-hybrid-1.8/cgyr400
2019,Perodua Myvi H 1.5,"RM
          41,800",RM 447,"112,496 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-h-1.5/ckoq400
2019,Perodua Myvi X 1.3,"RM
          37,400",RM 410,"76,343 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-x-1.3/cpwp400
2020,Honda City E i-VTEC 1.5,"RM
          60,900",RM 662,"73,429 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2020-honda-city-e-i-vtec-1.5/cxpp400
2020,Honda City V i-VTEC 1.5,"RM
          63,900",RM 700,"85,873 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2020-honda-city-v-i-vtec-1.5/cdhm400
2014,Honda Jazz i-VTEC 1.5,"RM
          36,800",RM 500,"114,428 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/jazz/2014-honda-jazz-i-vtec-1.5/c4rp400
2017,Perodua Myvi AV 1.5,"RM
          39,900",RM 502,"120,139 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-av-1.5/c9lq400
2020,Proton Persona Premium 1.6,"RM
          34,000",RM 345,"73,397 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/persona/2020-proton-persona-premium-1.6/cm9s400
2021,Perodua AXIA GXtra 1.0,"RM
          32,400",RM 340,"42,081 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2021-perodua-axia-gxtra-1.0/c6mr400
2019,Honda HR-V i-VTEC V 1.8,"RM
          70,000",RM 752,"100,820 km",Automatic,"CARSOME Showroom Kota Bharu, Kelantan 14,408.9 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2019-honda-hr-v-i-vtec-v-1.8/ca8q400
2017,Toyota Vios J 1.5,"RM
          45,800",RM 584,"124,652 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2017-toyota-vios-j-1.5/cv0s400
2020,Perodua Myvi AV 1.5,"RM
          46,600",RM 502,"91,030 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/c4pr400
2022,Proton X50 Premium 1.5,"RM
          68,400",RM 750,"51,995 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x50/2022-proton-x50-premium-1.5/cpeq400
2018,Perodua Bezza Advance Premium 1.3,"RM
          35,900",RM 431,"92,320 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-advance-premium-1.3/cbtr400
2018,Perodua Bezza X Premium 1.3,"RM
          33,400",RM 401,"92,050 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/cxao400
2022,Honda HR-V S 1.5,"RM
          89,400",RM 951,"51,703 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2022-honda-hr-v-s-1.5/cchp400
2018,Honda CR-V TC VTEC 1.5,"RM
          85,800","RM 1,007","83,417 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/cr-v/2018-honda-cr-v-tc-vtec-1.5/cdnq400
2017,Perodua Bezza Advance Premium 1.3,"RM
          33,000",RM 440,"109,840 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2017-perodua-bezza-advance-premium-1.3/cqnr400
2022,BMW 330i M Sport Driving Assist Pack 2.0,"RM
          188,000","RM 2,003","47,463 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",Luxury,https://www.carsome.my/buy-car/bmw/330i/2022-bmw-330i-m-sport-driving-assist-pack-2.0/cazp400
2017,Perodua AXIA G 1.0,"RM
          27,400",RM 332,"130,527 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/cm5p400
2020,Perodua Myvi AV 1.5,"RM
          46,600",RM 502,"83,007 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/c8is400
2018,Mazda 3 SKYACTIV-G High 2.0,"RM
          68,900",RM 778,"111,982 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/mazda/3/2018-mazda-3-skyactiv-g-high-2.0/cjdr400
2021,Perodua AXIA GXtra 1.0,"RM
          33,000",RM 340,"53,295 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2021-perodua-axia-gxtra-1.0/c99s400
2021,Perodua Myvi AV 1.5,"RM
          46,900",RM 514,"43,626 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2021-perodua-myvi-av-1.5/ca1s400
2019,Perodua Myvi G 1.3,"RM
          37,400",RM 403,"51,975 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-g-1.3/cpds400
2022,Mitsubishi Xpander 1.5,"RM
          74,400",RM 789,"60,511 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Family Drive,https://www.carsome.my/buy-car/mitsubishi/xpander/2022-mitsubishi-xpander--1.5/ccdr400
2017,Perodua AXIA G 1.0,"RM
          27,400",RM 344,"135,210 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/cjfr400
2020,Honda City E i-VTEC 1.5,"RM
          60,400",RM 625,"98,592 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2020-honda-city-e-i-vtec-1.5/cuvq400
2017,Perodua AXIA SE 1.0,"RM
          28,900",RM 386,"79,938 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-se-1.0/c8dr400
2019,Toyota Hilux L-Edition Dual Cab 2.8,"RM
          100,800","RM 1,085","155,730 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",Adventure,https://www.carsome.my/buy-car/toyota/hilux/2019-toyota-hilux-l-edition-dual-cab-2.8/cykt400
2021,Honda Jazz E i-VTEC 1.5,"RM
          68,400",RM 750,"70,335 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/jazz/2021-honda-jazz-e-i-vtec-1.5/co3q400
2019,Toyota Yaris G 1.5,"RM
          58,400",RM 640,"109,348 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/yaris/2019-toyota-yaris-g-1.5/c5tq400
2017,Honda BR-V V i-VTEC 1.5,"RM
          45,000",RM 560,"150,669 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Family Drive,https://www.carsome.my/buy-car/honda/br-v/2017-honda-br-v-v-i-vtec-1.5/cv4s400
2018,Perodua Bezza X Premium 1.3,"RM
          33,900",RM 407,"85,519 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/cy0r400
2022,Honda CR-V TC-P VTEC 1.5,"RM
          119,800","RM 1,313","42,241 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/cr-v/2022-honda-cr-v-tc-p-vtec-1.5/cgbt400
2020,Perodua Myvi AV 1.5,"RM
          46,600",RM 492,"84,852 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/cdas400
2018,Honda HR-V i-VTEC S 1.8,"RM
          51,000",RM 612,"117,197 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2018-honda-hr-v-i-vtec-s-1.8/coor400
2016,Perodua Alza Ez 1.5,"RM
          34,900",RM 459,"144,788 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2016-perodua-alza-ez-1.5/c3vp400
2018,Perodua Alza Ez 1.5,"RM
          43,000",RM 490,"140,660 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2018-perodua-alza-ez-1.5/cmgr400
2019,Honda City V i-VTEC 1.5,"RM
          58,400",RM 640,"105,515 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2019-honda-city-v-i-vtec-1.5/cn5p400
2021,Toyota Yaris G 1.5,"RM
          61,900",RM 667,"82,577 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/yaris/2021-toyota-yaris-g-1.5/cq3u400
2021,Honda HR-V i-VTEC E 1.8,"RM
          74,400",RM 767,"60,473 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2021-honda-hr-v-i-vtec-e-1.8/cyzr400
2023,Nissan Serena S-Hybrid High-Way Star 2.0,"RM
          122,000","RM 1,292","28,312 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Family Drive,https://www.carsome.my/buy-car/nissan/serena/2023-nissan-serena-s-hybrid-high-way-star-2.0/ceop400
2019,Proton Saga Premium 1.3,"RM
          35,000",RM 384,"30,300 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 10,512.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2019-proton-saga-premium-1.3/cc7r400
2020,Proton Saga Anniversary Edition 1.3,"RM
          37,500",RM 411,"56,284 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 10,512.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-anniversary-edition-1.3/cxlq400
2014,Honda Accord i-VTEC 2.4,"RM
          39,900",RM 542,"164,348 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",Executive,https://www.carsome.my/buy-car/honda/accord/2014-honda-accord-i-vtec-2.4/cnxr400
2018,Honda Jazz V i-VTEC 1.5,"RM
          61,900",RM 718,"96,392 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/jazz/2018-honda-jazz-v-i-vtec-1.5/ct6t400
2022,Perodua Ativa AV 1.0,"RM
          62,100",RM 656,"60,596 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",Compact SUV,https://www.carsome.my/buy-car/perodua/ativa/2022-perodua-ativa-av-1.0/co4s400
2016,Perodua Bezza Advance Premium 1.3,"RM
          30,900",RM 420,"82,263 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2016-perodua-bezza-advance-premium-1.3/cker400
2018,Perodua Bezza G Standard 1.0,"RM
          29,400",RM 353,"100,726 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-g-standard-1.0/crsr400
2020,Perodua Myvi AV 1.5,"RM
          47,400",RM 502,"74,538 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/cwss400
2017,Perodua Bezza X Premium 1.3,"RM
          31,400",RM 399,"130,050 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2017-perodua-bezza-x-premium-1.3/cgqs400
2018,Subaru XV P 2.0,"RM
          58,900",RM 672,"118,187 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",Compact SUV,https://www.carsome.my/buy-car/subaru/xv/2018-subaru-xv-p-2.0/ckxq400
2023,Perodua Myvi AV 1.5,"RM
          53,900",RM 581,"20,436 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2023-perodua-myvi-av-1.5/cu0s400
2017,Perodua AXIA Advance 1.0,"RM
          29,400",RM 380,"130,790 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-advance-1.0/coxr400
